y[k-1],y[k-2],u[k-1],exec time,seed,nfev
1.5010476565818505,-0.7006567345965558,0.49867390523770405,659.0823760032654,51,73
1.5021076965075195,-0.7011260423153425,0.49750212888882306,612.7562053203583,63,69
1.498339577921906,-0.698849527184379,0.5017295822390149,793.7428665161133,57,100
1.5010370721060395,-0.7006859583878664,0.49838530141863413,672.9769110679626,45,80
1.5000678894655197,-0.7001493446293144,0.4992657958796632,883.6829900741577,49,107
1.4990320246947402,-0.6990735917514838,0.4996590872542063,627.499504327774,64,62
1.500130061583394,-0.7003103240669686,0.5003769005230737,827.4834268093109,59,112
-1.2753427617825914,1.3172207426474536,3.0211438480479327,1955.143363237381,34,240
1.5008115942442746,-0.7005344444992446,0.4995240219291785,986.5940170288086,55,114
1.5006878623490147,-0.7005889259826321,0.4991668717364012,547.6088199615479,66,56
1.5011401407910885,-0.7001649652650956,0.49820067122033224,880.5219225883484,61,107
1.500081274421767,-0.6999608497978421,0.499945268927558,658.9563176631927,80,77
1.4987683923978787,-0.6988028454819132,0.5011404333274185,684.9523108005524,78,89
1.498018052482021,-0.6982359008816531,0.5010720675204355,742.7286548614502,72,87
1.4999730038167223,-0.6994364018040518,0.4983421413987765,815.826210975647,76,104
1.5001756221340918,-0.7000353969127525,0.49997914645736685,826.9896938800812,74,104
1.5028475466034767,-0.7023574399114525,0.4973455911939934,692.6059443950653,88,85
1.5019512770185541,-0.7017025246875688,0.5004167642954476,1050.7422215938568,68,138
1.5005975371387101,-0.7008095510529091,0.5002934476146577,774.4258716106415,86,88
1.5001399334897205,-0.7000551797253605,0.4996897709632883,973.1965200901031,70,126
1.5016006500296286,-0.7015827088930017,0.499220287326673,591.7646415233612,92,71
1.50069182576491,-0.7002230571135067,0.49750837563887973,666.8455233573914,90,82
1.4991131288298636,-0.6990091765799784,0.5009346374867165,944.5690262317657,82,117
1.5009792382370404,-0.7003877651619387,0.49842892109843084,853.4035544395447,65,110
1.4996568267130075,-0.6995898777024313,0.500003616548971,694.8752613067627,67,80
1.4979925346737166,-0.6982741657804737,0.5015419751975727,822.3336417675018,35,99
1.5001847930724446,-0.6998931096469997,0.5013979999190233,964.5407228469849,84,119
1.5024200076231464,-0.7017412398577388,0.49696506156574416,708.0630159378052,79,77
1.502057306438355,-0.7019110512203701,0.5000619597706557,610.8956203460693,75,74
1.500661428602657,-0.700885961949929,0.501060306011299,636.3302636146545,77,76
1.5027381713466157,-0.7018604003103055,0.49748116825390387,744.0419199466705,73,85
1.497227709759053,-0.6984316991715483,0.5027916050928295,816.2062993049622,81,84
1.4998914576471871,-0.7000183432386005,0.4994587106393234,477.31397676467896,94,54
1.4979031749658271,-0.6984627740538188,0.5030086301042248,596.967670917511,71,74
1.5012481871290175,-0.7007792202677592,0.49887135750350337,656.7055521011353,89,87
1.5008326502851481,-0.7005275789997855,0.4991004541094314,571.2818450927734,91,68
1.5008159334907165,-0.7009828322268916,0.49974606145028316,662.4767799377441,93,77
1.4992870217241625,-0.6993650391323563,0.5002862584609729,593.9833433628082,98,86
1.5005559409425075,-0.7005316310484867,0.49944954773798766,748.6878740787506,87,95
1.5012883826404622,-0.7013556613077249,0.49984337740341195,678.4536447525024,83,101
1.502036272937663,-0.702115952201938,0.499459258941594,668.9307126998901,96,94
1.4998167674463574,-0.7001478920119971,0.5003609356492261,842.1316170692444,69,122
1.4982607867801152,-0.698651546751975,0.5016777270225701,718.0869076251984,85,101
1.4980298136225347,-0.6987157955192416,0.5033159582399613,436.20359683036804,95,79
1.499696068762126,-0.6996093666555812,0.5003373932329769,372.22181963920593,99,85
1.4975010300794027,-0.6979824692228039,0.502141763894725,343.82249760627747,97,84
